source,early,late,category,further category,link
Epiphanes on Righteousness,130,160,Gnostics,Quoted Authors,https://www.earlychristianwritings.com/epiphanes.html
Ophite Diagarams,130,160,Gnostics,Quoted Authors,https://www.earlychristianwritings.com/ophite.html
2 Clement,130,160,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/2clement.html
Gospel of Judas,130,170,Gnostics,Quoted Authors,https://www.earlychristianwritings.com/gospeljudas.html
Epistle of Mathetes to Diognetus,130,200,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/diognetus.html
Epistula Apostolorum,140,150,Apocrypha,Gospels,https://www.earlychristianwritings.com/apostolorum.html
Ptolemy,140,160,Gnostics,Quoted Authors,https://www.earlychristianwritings.com/ptolemy.html
Isidore,140,160,Gnostics,Quoted Authors,https://www.earlychristianwritings.com/isidore.html
Fronto,140,170,Other,Pagan and Jewish,https://www.earlychristianwritings.com/fronto.html
Infancy Gospel of James,140,170,Apocrypha,Gospels,https://www.earlychristianwritings.com/infancyjames.html
Infancy Gospel of Thomas,140,170,Apocrypha,Gospels,https://www.earlychristianwritings.com/infancythomas.html
Gospel of Truth,140,180,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/gospeltruth.html
Martyrdom of Polycarp,150,160,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/martyrdompolycarp.html
Justin Martyr,150,160,Church Fathers,Apologists,https://www.earlychristianwritings.com/justin.html
Excerpts of Theodotus,150,180,Gnostics,Quoted Authors,https://www.earlychristianwritings.com/theodotus.html
Heracleon,150,180,Gnostics,Quoted Authors,https://www.earlychristianwritings.com/heracleon.html
Ascension of Isaiah,150,200,Other,Jewish/Christian,https://www.earlychristianwritings.com/ascension.html
Interpretation of Knowledge,150,200,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/interpretation.html
Testimony of Truth,150,200,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/truth.html
Acts of Peter,150,200,Apocrypha,Apostolic Acts,https://www.earlychristianwritings.com/actspeter.html
Acts of John,150,200,Apocrypha,Apostolic Acts,https://www.earlychristianwritings.com/actsjohn.html
Acts of Paul,150,200,Apocrypha,Apostolic Acts,https://www.earlychristianwritings.com/actspaul.html
Acts of Andrew,150,200,Apocrypha,Apostolic Acts,https://www.earlychristianwritings.com/actsandrew.html
Acts of Peter and the Twelve,150,225,Apocrypha,Apostolic Acts,https://www.earlychristianwritings.com/actspetertwelve.html
Book of Thomas the Contender,150,225,Apocrypha,Apostolic Acts,https://www.earlychristianwritings.com/contender.html
Paraphrase of Shem,150,250,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/shem.html
Fifth and Sixth Books of Esra,150,250,Apocrypha,Martyrologies,https://www.earlychristianwritings.com/esra.html
Authoritative Teaching,150,300,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/authoritative.html
Coptic Apocalypses of Paul,150,300,Gnostics,Apocalypses,https://www.earlychristianwritings.com/nhlapocalypsepaul.html
Prayer of the Apostle Paul,150,300,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/prayerpaul.html
Discourse on the Eighth and Ninth,150,300,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/eighthninth.html
Melchizedek,150,300,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/melchizedek.html
Preaching of Paul,150,350,Apocrypha,Quoted Authors,https://www.earlychristianwritings.com/preachingpaul.html
Epistle to the Laodiceans,150,350,Apocrypha,Contested Epistles of Paul,https://www.earlychristianwritings.com/laodiceans.html
